Hora,Partido,Ronda,Mercado,Pick,Prob %,Confianza,Cuota,Edge %,Tier,Contexto,Decision,Stake,Notas,Cumplió,Resultado,PnL
16:00,Portugal vs Spain,WC,Doble oport.,Spain o empate,78,ALTA,,,,,,,,,,
16:00,Portugal vs Spain,WC,Prop: tiros al arco,Mikel Oyarzabal O0.5,75,ALTA,,,,L10 7/8 (88%) · forward · varianza alta,,,,,,
16:00,Portugal vs Spain,WC,Goles,Under 4.5,73,ALTA,,,,,,,,,,
16:00,Portugal vs Spain,WC,Tarjetas,Under 3.5,70,ALTA,,,,,,,,,,
16:00,Portugal vs Spain,WC,Corners,Under 9.5,70,ALTA,,,,,,,,,,
16:00,Portugal vs Spain,WC,Prop: tiros al arco,Bruno Fernandes O0.5,70,ALTA,,,,L10 7/9 (78%) · midfielder · varianza alta,,,,,,
16:00,Portugal vs Spain,WC,Prop: tiros al arco,Cristiano Ronaldo O0.5,65,MEDIA,,,,L10 5/7 (71%) · forward · varianza alta,,,,,,
16:00,Portugal vs Spain,WC,Goles · sig,Under 3.5,60,MEDIA,,,,,,,,,,
16:00,Portugal vs Spain,WC,Prop: tiros al arco,Álex Baena O0.5,60,MEDIA,,,,L10 5/8 (62%) · forward · varianza alta,,,,,,
16:00,Portugal vs Spain,WC,Prop: tiros al arco,Ferran Torres O0.5,58,MEDIA,,,,L10 6/10 (60%) · forward · varianza alta,,,,,,
16:00,Portugal vs Spain,WC,Corners · sig,Under 8.5,57,MEDIA,,,,,,,,,,
16:00,Portugal vs Spain,WC,Tarjetas · sig,Under 2.5,48,BAJA,,,,,,,,,,
21:00,USA vs Belgium,WC,Goles,Under 4.5,74,ALTA,,,,,,,,,,
21:00,USA vs Belgium,WC,Doble oport.,Sin empate,72,ALTA,,,,,,,,,,
21:00,USA vs Belgium,WC,Corners,Over 5.5,69,ALTA,,,,,,,,,,
21:00,USA vs Belgium,WC,Tarjetas,Over 1.5,68,ALTA,,,,,,,,,,
21:00,USA vs Belgium,WC,Prop: tiros al arco,Dodi Lukébakio O0.5,68,ALTA,,,,L10 4/5 (80%) · defender · varianza alta,,,,,,
21:00,USA vs Belgium,WC,Prop: tiros al arco,Kevin De Bruyne O0.5,67,ALTA,,,,L10 6/8 (75%) · midfielder · varianza alta,,,,,,
21:00,USA vs Belgium,WC,Prop: tiros al arco,Jérémy Doku O0.5,62,MEDIA,,,,L10 6/9 (67%) · midfielder · varianza alta,,,,,,
21:00,USA vs Belgium,WC,Prop: tiros al arco,Charles De Ketelaere O0.5,62,MEDIA,,,,L10 6/9 (67%) · forward · varianza alta,,,,,,
21:00,USA vs Belgium,WC,Goles · sig,Under 3.5,61,MEDIA,,,,,,,,,,
21:00,USA vs Belgium,WC,Corners · sig,Over 6.5,54,BAJA,,,,,,,,,,
21:00,USA vs Belgium,WC,Tarjetas · sig,Over 2.5,41,BAJA,,,,,,,,,,
